player_id,player_display_name,position,recent_team,season,week,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,opponent_team,wopr,rushing_epa,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,merge_name,redzone_carry_share,redzone_target_share,endzone_targets,endzone_target_share,team_x,spread_line,total_line,implied_total,inside_5_carry_share,inside_5_target_share,rushing_tds_allowed_to_DB,rushing_tds_allowed_to_QB,rushing_tds_allowed_to_RB,rushing_tds_allowed_to_TE,rushing_tds_allowed_to_WR,passing_tds_allowed_to_DB,passing_tds_allowed_to_DL,passing_tds_allowed_to_LB,passing_tds_allowed_to_OL,passing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,passing_tds_allowed_to_WR,depth_chart_rank,team_y,offense_snap_share,rush_yards_over_expected_per_att,rush_pct_over_expected,avg_time_to_los,percent_attempts_gte_eight_defenders,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation
00-0019596,Tom Brady,QB,TB,2020,1,3,9.0,1,0,0,0.0,0,NO,0.0,1.5054478645324707,0.0,0.0,0.0,0.0,0.0,1,tom brady,0.2,0.0,0.0,0.0,TB,3.5,47.5,22.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0020531,Drew Brees,QB,NO,2020,1,2,0.0,0,0,0,0.0,0,TB,0.0,-0.9120299220085144,0.0,0.0,0.0,0.0,0.0,0,drew brees,0.07692308,0.0,0.0,0.0,NO,-3.5,47.5,25.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,NO,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0022127,Jason Witten,TE,LVR,2020,1,0,0.0,0,1,1,2.0,0,CAR,0.06226707994937897,0.0,-1.301103949546814,0.0357142873108387,2.0,0.012422360479831696,1.0,0,jason witten,0.0,0.25,0.0,0.0,LVR,-3.0,48.0,25.5,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,LV,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0022921,Larry Fitzgerald,WR,ARI,2020,1,0,0.0,0,4,5,34.0,0,SF,0.25739020109176636,0.0,1.3585642576217651,0.13513512909412384,15.0,0.078125,2.2666666507720947,0,larry fitzgerald,0.0,0.0,0.0,0.0,ARI,6.5,48.0,20.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,ARI,0.79,0.0,0.0,0.0,0.0,5.285,3.4877700888198064,2.6979999999999995,6.577600078014529,80.0,2.6186427853078698,3.54885721469213
00-0022924,Ben Roethlisberger,QB,PIT,2020,1,3,9.0,0,0,0,0.0,0,NYG,0.0,-3.4936578273773193,0.0,0.0,0.0,0.0,0.0,0,ben roethlisberger,0.0,0.0,0.0,0.0,PIT,-5.5,45.0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0022942,Philip Rivers,QB,IND,2020,1,1,3.0,0,0,0,0.0,0,JAX,0.0,-0.33098745346069336,0.0,0.0,0.0,0.0,0.0,0,philip rivers,0.0,0.0,0.0,0.0,IND,-8.0,45.0,26.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,IND,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0023459,Aaron Rodgers,QB,GB,2020,1,1,2.0,0,0,0,0.0,0,MIN,0.0,1.9661847352981567,0.0,0.0,0.0,0.0,0.0,0,aaron rodgers,0.0,0.0,0.0,0.0,GB,2.5,44.5,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,GB,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0023500,Frank Gore,RB,NYJ,2020,1,6,24.0,0,0,0,0.0,0,BUF,0.0,-0.40239065885543823,0.0,0.0,0.0,0.0,0.0,0,frank gore,0.0,0.0,0.0,0.0,NYJ,6.5,39.5,16.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,NYJ,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0023682,Ryan Fitzpatrick,QB,MIA,2020,1,5,18.0,0,0,0,0.0,0,NE,0.0,0.452121376991272,0.0,0.0,0.0,0.0,0.0,0,ryan fitzpatrick,0.375,0.0,0.0,0.0,MIA,7.0,41.5,17.25,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0025394,Adrian Peterson,RB,DET,2020,1,14,93.0,0,3,3,21.0,0,CHI,0.11351954191923141,0.2518881559371948,0.5257801413536072,0.0731707289814949,2.0,0.005376344081014395,10.5,0,adrian peterson,0.8,0.0,0.0,0.0,DET,-2.5,42.5,22.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,DET,0.31,2.2619408923522184,0.35714285714285715,2.773357142857143,35.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0
